فتره,جاهزة,المستفيد,المحاضر,القاعة,الى,من,الايام,المسجلين,اعلى حد,التسلسل,النشاط,ساعات المقرر,اسم المقرر,المقرر,الشعبة,index
12,نعم,44,اسلام خان محمد نضرول,304,11:10 ص,09:45 ص,1,37,50,1,نظري,3,حساب التكامل,MATH115,846,1
12,نعم,44,اسلام خان محمد نضرول,304,09:15 ص,08:00 ص,4,37,50,1,نظري,3,حساب التكامل,MATH115,846,2
12,نعم,44,اسلام خان محمد نضرول,304,09:15 ص,08:00 ص,2 1,43,50,2,نظري,3,حساب التكامل,MATH115,847,3
12,نعم,44,اسلام خان محمد نضرول,302,01:15 م,12:00 م,2,28,50,3,نظري,3,حساب التكامل,MATH115,848,4
12,نعم,44,اسلام خان محمد نضرول,302,12:45 م,11:30 ص,1,28,50,3,نظري,3,حساب التكامل,MATH115,848,5
12,لا,44,لم يحدد من الكلية,لم تحدد من الكلية,11:10 ص,09:45 ص,1,0,40,4,نظري,3,حساب التكامل,MATH115,2278,6
12,لا,44,لم يحدد من الكلية,لم تحدد من الكلية,09:15 ص,08:00 ص,5,0,40,4,نظري,3,حساب التكامل,MATH115,2278,7
12,لا,44,لم يحدد من الكلية,لم تحدد من الكلية,09:15 ص,08:00 ص,2 1,0,40,5,نظري,3,حساب التكامل,MATH115,2279,8
12,لا,44,لم يحدد من الكلية,لم تحدد من الكلية,12:45 م,11:30 ص,1,0,40,6,نظري,3,حساب التكامل,MATH115,2280,9
12,لا,44,لم يحدد من الكلية,لم تحدد من الكلية,01:15 م,12:00 م,2,0,40,6,نظري,3,حساب التكامل,MATH115,2280,10
12,نعم,44,انور حسين حسين ساديال,303,11:00 ص,09:45 ص,2 1,37,50,1,نظري,3,الجبر الخطي والحساب متعدد المتغيرات,MATH116,849,11
12,نعم,44,انور حسين حسين ساديال,201,09:15 ص,08:00 ص,2 1,19,50,2,نظري,3,الجبر الخطي والحساب متعدد المتغيرات,MATH116,850,12
12,نعم,44,انور حسين حسين ساديال,203,04:15 م,03:00 م,1,11,50,3,نظري,3,الجبر الخطي والحساب متعدد المتغيرات,MATH116,851,13
